Category	Count	%	Pvalue	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Term	Genes
GOTERM_BP_FAT	70	15.486725663716813	6.837561198100224E-18	402	907	16650	3.1965311260675677	3.186987274434514E-14	3.186987274434514E-14	1.2916096920338864E-14	GO:0006082~organic acid metabolic process	ARG2, AHCYL2, CSAD, NR1H4, CYP2C9, CRYL1, ALDH1L1, UGT1A10, GGT1, UGT2A3, FABP1, BSG, PHYH, MPST, PCK1, GLS, PPARG, SLC23A1, UGT1A5, UGT1A6, ABCG2, CYP4F2, UGT2B17, GGTLC1, ACOT8, EHHADH, LIPC, SLC16A1, UGT1A9, CYP4F12, CRAT, AGMAT, ACSS2, UGT1A7, UGT1A4, ABAT, CPT1B, FAAH, OTC, PDK4, EDN2, GGTLC2, SLC3A1, PTGR1, HPGD, PPARGC1A, CYP27A1, ACADS, CTH, ACSF2, CPT1A, EDN1, CYP2C18, SLC16A9, ACOT4, UGT1A1, UGT1A8, DDAH2, PFKFB2, TST, ME3, ETFDH, UGT1A3, ACOX1, PLP1, ENTPD5, GGT6, PPARA, ASPA, GSTA1
GOTERM_BP_FAT	87	19.24778761061947	8.124466538341488E-18	402	1330	16650	2.709291886432499	3.7868138535209675E-14	1.8934069267604837E-14	1.5347050533810888E-14	GO:0006629~lipid metabolic process	PLCE1, PLA2G12B, NR1H4, OSBPL1A, CYP2C9, CRYL1, UGT1A10, GGT1, CWH43, HSD11B2, HSD17B2, FABP1, PIGZ, PHYH, PCK1, PPARG, UGT1A6, HRASLS2, CYP4F2, UGT2B17, NAPEPLD, GGTLC1, THRA, ACOT8, EHHADH, BPNT1, SERINC2, LIPC, SLC16A1, UGT1A9, CYP4F12, CRAT, ACSS2, UGT1A7, UGT1A4, SULT1A2, MOGAT2, CPT1B, FAAH, GBA3, PNPLA4, ARSD, PDK4, EDN2, GGTLC2, PTGR1, TRPV1, HPGD, PPARGC1A, GDPD3, CYP27A1, HSD17B3, SULT1A1, ACADS, INPP5J, ACSF2, EDN1, CPT1A, CYP2C18, NR1I2, HSD3B1, ADRA2A, ACOT4, HSD3B2, PLIN1, UGT1A1, UGT1A8, NAAA, NEU4, ETFDH, PCYT2, UGT1A3, ACOX1, NPHP3, PLP1, IP6K2, GGT6, PPARA, ETNK1, GDPD2, HMGCS2, FGFR3, RDH5, ARSE, B4GALNT2, GSTA1, AKR1B10
GOTERM_BP_FAT	53	11.725663716814159	3.3524704887504476E-17	402	559	16650	3.926921741916536	1.5625864948065837E-13	5.208621649355279E-14	6.332789206670278E-14	GO:0032787~monocarboxylic acid metabolic process	NR1H4, CYP2C9, CRYL1, GGT1, UGT1A10, UGT2A3, FABP1, BSG, PHYH, PCK1, PPARG, UGT1A5, UGT1A6, UGT2B17, CYP4F2, GGTLC1, ACOT8, EHHADH, SLC16A1, LIPC, UGT1A9, CYP4F12, CRAT, ACSS2, UGT1A7, UGT1A4, CPT1B, FAAH, PDK4, EDN2, GGTLC2, PTGR1, HPGD, PPARGC1A, CYP27A1, ACADS, ACSF2, CPT1A, EDN1, CYP2C18, ACOT4, UGT1A1, UGT1A8, PFKFB2, ETFDH, ME3, UGT1A3, ACOX1, ENTPD5, PLP1, GGT6, PPARA, GSTA1
GOTERM_BP_FAT	65	14.380530973451327	5.175826180378221E-17	402	826	16650	3.2592786671967042	2.412452582674289E-13	6.031131456685722E-14	9.7770931260062E-14	GO:0019752~carboxylic acid metabolic process	ARG2, CSAD, NR1H4, CYP2C9, CRYL1, GGT1, UGT1A10, UGT2A3, FABP1, BSG, PHYH, MPST, PCK1, GLS, PPARG, SLC23A1, UGT1A5, UGT1A6, CYP4F2, UGT2B17, GGTLC1, ACOT8, EHHADH, LIPC, SLC16A1, UGT1A9, CYP4F12, CRAT, AGMAT, ACSS2, UGT1A7, UGT1A4, ABAT, CPT1B, FAAH, OTC, PDK4, EDN2, GGTLC2, SLC3A1, PTGR1, HPGD, PPARGC1A, CYP27A1, ACADS, CTH, ACSF2, CPT1A, EDN1, CYP2C18, ACOT4, UGT1A1, UGT1A8, DDAH2, PFKFB2, ME3, ETFDH, UGT1A3, ACOX1, PLP1, ENTPD5, GGT6, PPARA, ASPA, GSTA1
GOTERM_BP_FAT	65	14.380530973451327	6.94536154265861E-17	402	831	16650	3.2396680855649556	5.174749517777855E-13	1.0347278589506459E-13	2.1094237467877974E-13	GO:0043436~oxoacid metabolic process	ARG2, CSAD, NR1H4, CYP2C9, CRYL1, GGT1, UGT1A10, UGT2A3, FABP1, BSG, PHYH, MPST, PCK1, GLS, PPARG, SLC23A1, UGT1A5, UGT1A6, CYP4F2, UGT2B17, GGTLC1, ACOT8, EHHADH, LIPC, SLC16A1, UGT1A9, CYP4F12, CRAT, AGMAT, ACSS2, UGT1A7, UGT1A4, ABAT, CPT1B, FAAH, OTC, PDK4, EDN2, GGTLC2, SLC3A1, PTGR1, HPGD, PPARGC1A, CYP27A1, ACADS, CTH, ACSF2, CPT1A, EDN1, CYP2C18, ACOT4, UGT1A1, UGT1A8, DDAH2, PFKFB2, ME3, ETFDH, UGT1A3, ACOX1, PLP1, ENTPD5, GGT6, PPARA, ASPA, GSTA1
GOTERM_BP_FAT	42	9.29203539823009	1.5708585926948523E-16	402	366	16650	4.752874969415219	5.174749517777855E-13	8.626432901337466E-14	2.1094237467877974E-13	GO:0006631~fatty acid metabolic process	UGT1A7, UGT1A4, CPT1B, CYP2C9, CRYL1, FAAH, GGT1, UGT1A10, PDK4, EDN2, GGTLC2, PTGR1, FABP1, HPGD, PPARGC1A, PHYH, ACADS, ACSF2, CPT1A, EDN1, PPARG, CYP2C18, ACOT4, UGT1A6, CYP4F2, UGT1A1, UGT1A8, ETFDH, GGTLC1, UGT1A3, ACOX1, ACOT8, PLP1, GGT6, EHHADH, PPARA, LIPC, UGT1A9, CYP4F12, CRAT, GSTA1, ACSS2
GOTERM_BP_FAT	9	1.991150442477876	9.312367539697164E-13	402	9	16650	41.417910447761194	4.3405798955120645E-9	6.200828739366671E-10	1.7591372802883143E-9	GO:0052697~xenobiotic glucuronidation	UGT1A5, UGT1A7, UGT1A4, UGT1A6, UGT1A1, UGT1A9, UGT1A8, UGT1A10, UGT1A3
GOTERM_BP_FAT	13	2.8761061946902653	3.019957045717432E-12	402	31	16650	17.36880115551276	1.407583605228524E-8	1.7594795620468062E-9	5.704603456280211E-9	GO:0009812~flavonoid metabolic process	UGT2A3, UGT1A5, UGT1A7, UGT1A4, UGT1A6, PPARGC1A, UGT2B17, UGT1A1, UGT1A9, UGT1A8, UGT1A10, SULT1A1, UGT1A3
GOTERM_BP_FAT	65	14.380530973451327	3.626419425835397E-12	402	1043	16650	2.581173709592021	1.6902801713847282E-8	1.87808912865961E-9	6.850298106542141E-9	GO:0044255~cellular lipid metabolic process	PLCE1, PLA2G12B, CYP2C9, CRYL1, GGT1, UGT1A10, CWH43, FABP1, PIGZ, PHYH, PCK1, PPARG, UGT1A6, CYP4F2, NAPEPLD, GGTLC1, ACOT8, EHHADH, BPNT1, SERINC2, LIPC, UGT1A9, CYP4F12, CRAT, ACSS2, UGT1A7, UGT1A4, MOGAT2, CPT1B, GBA3, FAAH, PNPLA4, ARSD, PDK4, EDN2, GGTLC2, PTGR1, HPGD, PPARGC1A, ACADS, INPP5J, ACSF2, CPT1A, EDN1, CYP2C18, ACOT4, UGT1A1, UGT1A8, ETFDH, NEU4, PCYT2, UGT1A3, ACOX1, PLP1, IP6K2, GGT6, PPARA, ETNK1, HMGCS2, RDH5, FGFR3, ARSE, B4GALNT2, GSTA1, AKR1B10
GOTERM_BP_FAT	20	4.424778761061947	4.5157456507056924E-12	402	103	16650	8.042312708303145	2.104777596656504E-8	2.1047775744520436E-9	8.530165462872219E-9	GO:0071466~cellular response to xenobiotic stimulus	CYP2C18, NR1I2, UGT1A7, UGT1A5, UGT1A4, SULT1A2, UGT1A6, CYP2C9, AKR7A3, UGT1A1, UGT1A8, UGT1A10, GGT1, UGT1A3, CES2, APOBEC3A, APOBEC3A, UGT1A9, NQO1, SULT1A1
