Category	Count	%	Pvalue	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Term	Genes
GOTERM_BP_FAT	220	26.82926829268293	5.691158347301526E-60	744	1518	16650	3.2433380084151473	3.970152063077544E-56	3.970152063077544E-56	1.121023786436083E-56	GO:0006952~defense response	C1QB, IL1A, CCL4, CCL20, OAS2, C4BPB, APOBEC3G, HCK, FPR1, STAT1, BMP6, EDNRB, FN1, ITGB2, CXCL16, S100A8, PTPRC, HLA-DQB1, C1QA, CYSLTR1, FGR, CLEC5A, LYN, HTRA1, C4B, NRROS, IFITM2, DOCK2, APOL1, DUOXA2, WNT5A, CX3CR1, TNIP3, PTGS1, MAP3K5, HLA-DRB3, PLA2G7, CD14, SLAMF7, IFI16, IFI30, SPON2, CYP27B1, C1QC, GZMB, RAB27A, HLA-DPA1, CFH, SERPINF1, RNASE6, MNDA, PRDM1, DEFA5, CCL2, CHI3L1, CLEC4A, ANO6, IFNG, ERAP1, OLR1, ITGAX, TLR8, NFKBIZ, ICAM1, SLPI, KIT, CXCL2, DEFA6, TLR1, FCER1A, GBP5, CCL13, RAB23, THEMIS2, TPST1, C3AR1, CTSK, MDK, TLR2, PROS1, CFI, ADM, CHST2, IL2RA, CD74, PROK2, SLFN11, TGM2, PLA2G2A, NCF2, SGMS1, VCAM1, S100A12, S100A9, CXCL8, HLA-DRA, TRAT1, LIPA, TNFRSF6B, NOX1, DMBT1, ACP5, CYBB, TICAM2, SERPING1, IL1B, TNFSF11, SLAMF1, SAA2, ELMO1, C4BPA, CCR6, PTGFR, TLR4, ACVR1, IDO1, LCN2, SELE, SELP, CFB, SAA4, AGT, TRIL, CXCL9, IRF1, IL18RAP, CD27, FFAR2, LY96, SCG2, C1R, FCER1G, CCL18, FCN1, INHBA, MS4A2, VSIG4, HLA-DRB3, CLEC7A, SAA1, ADGRE2, CXCR2, HLA-DQA2, CXCL12, CCL11, LPL, CD163, GBP2, ANXA1, MMP2, CCR1, CSF1R, SEC14L1, EGR1, HLA-DRB1, COLEC12, GJA1, HLA-DQA1, RASGRP1, ISL1, LILRB2, APOL3, TMEM173, IL12RB1, PTGS2, TYROBP, JCHAIN, CXCL1, TRIM22, TNFRSF11B, TLR7, PF4, CD40, CD86, IFITM3, F2R, OSMR, BNIP3, IRF4, TNFAIP6, HLA-DRB3, CD96, CADM1, CALCRL, C1S, CLEC10A, VNN1, CXCL6, IL33, ITGAM, C4A, SERPINA1, TREM1, NOD2, SPINK5, FPR3, REG3A, TGFB1, BST2, FOXF1, CD44, SAMHD1, NOS2, ALOX5AP, ANXA3, CXCL11, IL6, KYNU, CXCL10, CD55, JAK2, LY9, CCL8, PRKD1, KCNJ8, F3, C3, LYZ, CXCL3, CXCL5, GBP1, GBP3
GOTERM_BP_FAT	217	26.463414634146343	2.651415193746491E-56	744	1551	16650	3.131044487427466	1.8496272391575522E-52	9.248136195787761E-53	5.222661747440525E-53	GO:0006955~immune response	C1QB, IL1A, CCL4, CCL20, OAS2, C4BPB, APOBEC3G, HCK, LAMP3, FPR1, STAT1, BMP6, ITGB2, CXCL16, TGFB3, S100A8, PTPRC, HLA-DQB1, C1QA, CYSLTR1, FGR, CLEC5A, CD300A, LYN, C4B, NRROS, IFITM2, DOCK2, APOL1, WNT5A, CX3CR1, TNIP3, MAP3K5, HLA-DRB3, GEM, CD14, SLAMF7, IFI16, IFI30, SPON2, CYP27B1, C1QC, GZMB, RAB27A, HLA-DPA1, CFH, MNDA, PRDM1, DEFA5, CCL2, ADAMDEC1, CLEC4A, IFNG, ADGRE1, ERAP1, TLR8, ICAM1, BTN3A2, SLPI, KIT, GPR183, NCF4, CXCL2, DEFA6, TLR1, FCER1A, SEMA4D, GBP5, CCL13, RAC2, THEMIS2, C3AR1, CTSK, TLR2, PROS1, ITM2A, LAX1, CFI, LCP2, ADM, IL2RA, CD74, GPR65, NCF2, KDM5D, SAMSN1, VCAM1, S100A12, S100A9, CXCL8, HLA-DRA, TRAT1, TNFRSF6B, DMBT1, CYBB, CTSC, TICAM2, SERPING1, IL1B, TNFSF11, SLAMF1, POU2AF1, FCGR2B, ELMO1, C4BPA, CCR6, TLR4, IDO1, LCN2, CFHR1, CFB, ICOS, C8orf4, TRIL, TNFSF13B, CXCL9, THY1, IRF1, IL18RAP, CD27, IL18R1, FFAR2, LY96, C1R, FCER1G, CCL18, FCN1, CD80, TNFRSF17, MS4A2, VSIG4, HLA-DRB3, CLEC7A, SAA1, FCGR3B, LST1, CST7, CXCR2, HLA-DQA2, CXCL12, CCL11, GBP2, NKX2-3, ANXA1, MMP2, CCR1, CSF1R, SEC14L1, EGR1, HLA-DRB1, COLEC12, CTSH, IL18BP, HLA-DQA1, RASGRP1, LILRB2, TMEM173, IL12RB1, TYROBP, PDE4B, JCHAIN, CD38, CXCL1, TRIM22, CLC, TNFRSF11B, TLR7, PF4, CD40, CD86, IFITM3, RGCC, IRF4, MADCAM1, HLA-DRB3, IGSF6, PXDN, IL13RA2, NCKAP1L, CD96, CADM1, C1S, CLEC10A, VNN1, CXCL6, IL33, AQP9, ITGAM, C4A, TREM1, NOD2, SPINK5, FPR3, TGFB1, BST2, LAT2, FOXF1, CD44, SAMHD1, NOS2, GZMA, ALCAM, ANXA3, CXCL11, IL6, KYNU, CXCL10, CD55, JAK2, LGALS1, BTN3A3, LY9, CCL8, PRKD1, C3, XBP1, CXCL3, CXCL5, GBP1
GOTERM_BP_FAT	135	16.463414634146343	1.9562276867445457E-54	744	637	16650	4.742809034283689	1.364664434272995E-50	4.548881447576651E-51	3.853306540952731E-51	GO:0006954~inflammatory response	IL1A, CCL4, CCL20, C4BPB, SELP, SELE, CFB, SAA4, AGT, HCK, FPR1, CXCL9, TRIL, IL18RAP, CD27, BMP6, EDNRB, FFAR2, FN1, LY96, ITGB2, SCG2, FCER1G, CCL18, S100A8, MS4A2, CYSLTR1, LYN, C4B, NRROS, CLEC7A, SAA1, ADGRE2, WNT5A, CX3CR1, CXCR2, CXCL12, CCL11, TNIP3, PTGS1, LPL, CD163, PLA2G7, CD14, ANXA1, CCR1, IFI16, CSF1R, CFH, SERPINF1, HLA-DRB1, CCL2, CHI3L1, GJA1, ANO6, OLR1, TLR8, NFKBIZ, RASGRP1, ISL1, ICAM1, APOL3, KIT, CXCL2, TLR1, FCER1A, GBP5, CCL13, THEMIS2, PTGS2, TPST1, C3AR1, CXCL1, TLR7, TNFRSF11B, PF4, CD40, TLR2, F2R, OSMR, PROS1, CFI, TNFAIP6, CHST2, IL2RA, CD96, PROK2, TGM2, PLA2G2A, CALCRL, VNN1, CXCL6, IL33, SGMS1, VCAM1, C4A, SERPINA1, S100A12, CXCL8, S100A9, NOD2, REG3A, FPR3, TGFB1, LIPA, TNFRSF6B, FOXF1, NOX1, ACP5, CYBB, ALOX5AP, NOS2, CXCL11, SERPING1, TICAM2, IL6, IL1B, CXCL10, TNFSF11, CD55, JAK2, SAA2, CCL8, PRKD1, C4BPA, F3, CCR6, C3, PTGFR, LYZ, CXCL3, CXCL5, TLR4, ACVR1, IDO1
GOTERM_CC_FAT	210	25.609756097560975	4.141003902881242E-51	711	1444	14527	2.971381651998083	2.4887433456316263E-48	2.4887433456316263E-48	6.117343491810085E-48	GO:0005615~extracellular space	C1QB, IL1A, CCL4, CCL20, C4BPB, TCN1, EFEMP1, LRRK2, AGA, BMP6, FN1, PPT1, CTHRC1, CXCL16, TGFB3, S100A8, ZG16B, LTBP2, C1QA, DPYSL3, FAP, HTRA1, C4B, APOL1, LOXL1, WNT5A, GCG, IGFBP7, PLA2G7, COL6A3, CD14, SPON2, C1QC, CFH, CPQ, SERPINF1, DEFA5, SST, CCL2, CHI3L1, SRPX2, IFNG, ANOS1, ERAP1, NRP1, ICAM1, FGL2, SLPI, KIT, CXCL2, DEFA6, SEMA4D, CCL13, FSTL1, COL6A2, ADAMTS9, CTSK, PRDX4, LUM, TFPI, PROS1, CFI, ADM, PECAM1, NRG1, FBLN1, PLA2G2A, VCAM1, SULF1, DCN, SCGB2A1, S100A9, CXCL8, FMOD, IL15RA, PODXL, TNFRSF6B, MMP9, DMBT1, CTSC, ANGPTL2, HBA2, SERPING1, COL1A2, IL1B, TIMP1, TNFSF11, TNC, SAA2, ACPP, C4BPA, COL15A1, SPOCK1, GREM1, LAMC1, WFDC2, MTHFD2, PLTP, SERPINI1, CFHR1, LCN2, PTPRG, SELP, SELE, VEGFC, PCSK1, COL18A1, CFB, SAA4, AGT, PLXDC1, HBA1, TNFSF13B, CXCL9, LY96, PDGFD, SCG2, C1R, CCL18, ADAM9, INHBA, MAN2B1, LIPG, FBN1, RETNLB, PTGDS, COL12A1, F13A1, OLFM1, SAA1, PAM, CST7, GLDN, CDH13, SRGN, CXCL12, CCL11, LPL, PLAU, TWSG1, ANXA1, MMP2, SERPINB7, CTSH, FAM20C, IL18BP, BMP4, CHRDL2, SFRP2, LILRB2, POSTN, FJX1, IGFBP5, SERPINB5, JCHAIN, CXCL1, TNFRSF11B, PF4, RBP4, MMP7, CD40, EGFL6, MMP3, TNFAIP6, CBR3, PXDN, CHI3L2, IL13RA2, COL1A1, C1S, THBD, S100A11, FLRT2, TGFBI, CXCL6, CPA3, PCOLCE, IL33, HBB, ITGAM, VCAN, C4A, SERPINA1, GDF15, HBEGF, REG3A, TGFB1, CTGF, SOD3, CXCL11, IL6, CXCL10, TIMP2, PYY, LGALS1, AKR1B1, FBLN5, CCL8, CPXM1, F3, MSN, C3, MMP10, GHR, ANXA5, LYZ, CMTM7, DKK3, CXCL3, CXCL5
GOTERM_BP_FAT	246	30.0	4.7923311611491524E-51	744	2073	16650	2.655688343214602	3.343130218017649E-47	8.357825545044122E-48	9.439760583492371E-48	GO:0009605~response to external stimulus	CCL4, NTN4, CCL20, OAS2, C4BPB, SCARA5, APOBEC3G, HCK, DENND5A, FPR1, LRRK2, STAT1, BMP6, EDNRB, ITGB2, FGF7, CXCL16, ROBO1, S100A8, CHL1, PTPRC, CYSLTR1, FGR, SNAI2, LYN, FAP, HTRA1, DUOX2, C4B, PLAUR, NRROS, IFITM2, DOCK2, DUOXA2, LOXL1, CX3CR1, WNT5A, PIM2, TNIP3, GCG, CD14, PLA2G7, CHSY1, IFI16, SPON2, CYP27B1, CFH, SERPINF1, PRDM1, DEFA5, SST, CCL2, CHI3L1, ANO6, KDR, IFNG, ANOS1, ERAP1, ITGAX, TLR8, BHLHE40, NRP1, ICAM1, SLPI, KIT, GPR183, CXCL2, JAML, TLR1, DEFA6, FCER1A, SEMA4D, GBP5, CCL13, RAC2, FZD3, FSTL1, C3AR1, LAMA2, TLR2, ALDH1A3, PROS1, TFPI, CFI, ADM, IL2RA, NRG1, CD74, PDGFRA, PROK2, CH25H, SLFN11, TGM2, PLA2G2A, SGMS1, VCAM1, ITLN1, DCN, S100A12, FMOD, S100A9, CXCL8, IL15RA, PDGFRB, PLXNC1, TNFRSF6B, DMBT1, SDR16C5, CYBB, ACP5, SGIP1, NR4A2, TICAM2, SERPING1, IL1B, TNFSF11, TNC, SAA2, ELMO1, CHN1, C4BPA, CCR6, PTGFR, GREM1, DCLK1, TLR4, IDO1, LCN2, SELE, SELP, VEGFC, CFB, SAA4, AGT, CXCL9, IRF1, CD27, FFAR2, LY96, PDGFD, ACKR3, SCG2, FCER1G, CCL18, ADAM9, CD80, LIPG, ARNTL2, CLEC7A, SAA1, ADGRE2, CXCR2, CDH13, CXCL12, CCL11, PLAU, LPL, ADGRA2, ANXA1, CCR1, PLEK, CSF1R, SEC14L1, HLA-DRB1, GJA1, ATF3, IL18BP, BMP4, UCP2, ISL1, SFRP2, LILRB2, POSTN, DOCK4, TMEM173, IL12RB1, PTGS2, PDE4B, JCHAIN, ACSL4, CXCL1, TRIM22, TNFRSF11B, TLR7, PF4, MMP7, CD86, CD40, IFITM3, EGR3, OSMR, F2R, CYR61, BNIP3, IRF4, TNFAIP6, MYH10, IL10RA, EGR2, NCKAP1L, CD96, CALCRL, COL1A1, THBD, RAB38, FLRT2, RBP1, CXCL6, IL33, C4A, TREM1, HBEGF, NOD2, SPINK5, FPR3, BST2, TGFB1, FOXF1, SAMHD1, NOS2, ALOX5AP, ALCAM, ANXA3, CXCL11, IL6, KYNU, CXCL10, CD55, JAK2, PYY, CCL8, PRKD1, KCNJ8, F3, XBP1, C3, GHR, LYZ, CMTM7, CXCL3, CXCL5, GBP1, GPNMB, MEIS2, GBP3, GUCY1A3
GOTERM_BP_FAT	179	21.829268292682926	2.6361142453761335E-50	744	1184	16650	3.3833165322580645	1.8389532975743908E-46	3.6779065951487816E-47	5.192522492773092E-47	GO:0016477~cell migration	IL1A, CCL4, CCL20, PTPRG, S100P, TIE1, SELE, SELP, VEGFC, COL5A1, COL18A1, SAA4, AGT, HCK, FPR1, MMP12, CXCL9, THY1, LRRK2, STAT1, FN1, FFAR2, EDNRB, PDGFD, ITGB2, HAS2, CTHRC1, SCG2, FCER1G, FGF7, CCL18, ADAM9, CXCL16, ROBO1, S100A8, CHL1, PTPRC, MMP1, DPYSL3, FGR, CD300A, CYP1B1, LYN, SNAI2, FAP, OSBPL8, SAA1, ADGRE2, WNT5A, CX3CR1, CXCR2, CDH13, CXCL12, CCL11, PLAU, ADGRA2, PLA2G7, NKX2-3, ANXA1, CCR1, CSF1R, INSM1, SERPINF1, CTSH, CCL2, SRPX2, ANO6, GJA1, KDR, IFNG, OLR1, ITGAX, BMP4, ISL1, NRP1, ICAM1, SFRP2, CEMIP, POSTN, GPR183, KIT, CXCL2, JAML, CLIC4, DOCK4, IGFBP5, SEMA4D, PLEKHO1, CCL13, RAC2, FZD3, PTGS2, PDE4B, C3AR1, SLC7A11, CXCL1, CTNNB1, PF4, MDK, APCDD1, SELL, EGR3, F2R, RGCC, CYR61, PROS1, MADCAM1, TNFAIP6, MYH10, SDC2, PECAM1, NRG1, CD74, FBLN1, NCKAP1L, PDGFRA, CH25H, COL1A1, THBD, FLRT2, CXCL6, IL33, PROCR, ITGAM, VCAN, VCAM1, SULF1, TREM1, S100A12, DCN, CXCL8, S100A9, HBEGF, DOCK8, FPR3, BST2, PSTPIP2, TGFB1, PDGFRB, PODXL, FOXF1, MMP9, NOX1, FUT8, CD44, CTGF, NR4A2, ANXA3, CXCL11, COL1A2, IL6, IL1B, CXCL10, TNFSF11, TIMP1, ZEB2, JAK2, SAA2, TWIST1, USP9Y, CCL8, PRKD1, ELMO1, F3, FGF13, CCR6, MSN, XBP1, ITGA4, SPOCK1, LAMC1, GREM1, SLC7A5, MITF, CXCL3, CXCL5, DCLK1, GPNMB, ACVR1
GOTERM_BP_FAT	205	25.0	1.1006464702800152E-49	744	1530	16650	2.9984977862112583	7.678109776673385E-46	1.2796849627788977E-46	2.1680136069765927E-46	GO:0040011~locomotion	IL1A, CCL4, NTN4, CCL20, TIE1, S100P, COL5A1, HCK, FPR1, MMP12, LRRK2, STAT1, EDNRB, FN1, ITGB2, CTHRC1, FGF7, CXCL16, ROBO1, S100A8, CHL1, PTPRC, CYSLTR1, DPYSL3, FGR, CD300A, LYN, SNAI2, FAP, PLAUR, CD81, OSBPL8, MYO5A, DOCK2, WNT5A, CX3CR1, PLA2G7, SPON2, SERPINF1, CCL2, SST, SRPX2, ANO6, KDR, IFNG, ANOS1, OLR1, ITGAX, NRP1, ICAM1, CEMIP, KIT, GPR183, JAML, CXCL2, CLIC4, SEMA4D, CCL13, RAC2, FZD3, C3AR1, CTNNB1, LAMA2, MDK, APCDD1, PROS1, SDC2, PECAM1, NRG1, CD74, FBLN1, PDGFRA, PROK2, CH25H, VCAM1, SULF1, DCN, S100A12, S100A9, CXCL8, FMOD, PSTPIP2, PODXL, PDGFRB, PLXNC1, MMP9, FUT8, NOX1, NR4A2, COL1A2, IL1B, TIMP1, ZEB2, TNFSF11, SAA2, TWIST1, USP9Y, ELMO1, CHN1, CCR6, ITGA4, SPOCK1, GREM1, GPR37, LAMC1, MITF, DCLK1, PLTP, LAMA4, ACVR1, PTPRG, SELE, SELP, VEGFC, COL18A1, SAA4, AGT, ADCY3, CXCL9, THY1, FFAR2, ACKR3, PDGFD, HAS2, SCG2, FCER1G, CCL18, ADAM9, MMP1, CYP1B1, SAA1, ADGRE2, CXCR2, CDH13, CXCL12, CCL11, PLAU, ADGRA2, NKX2-3, ANXA1, CCR1, INSM1, CSF1R, CTSH, GJA1, BMP4, ISL1, SFRP2, POSTN, DOCK4, IGFBP5, PDPN, PLEKHO1, PTGS2, PDE4B, SLC7A11, CXCL1, PF4, SELL, EGR3, F2R, RGCC, CYR61, MADCAM1, TNFAIP6, MYH10, DOCK10, NEXN, EGR2, NCKAP1L, COL1A1, THBD, FLRT2, CXCL6, IL33, PROCR, ITGAM, VCAN, TREM1, HBEGF, DOCK8, TGFB1, BST2, FPR3, FOXF1, CD44, CTGF, ALCAM, ANXA3, CXCL11, IL6, CXCL10, JAK2, CCL8, PRKD1, F3, FGF13, MSN, XBP1, MMP10, SLC7A5, CMTM7, CXCL3, CXCL5, GPNMB
GOTERM_BP_FAT	189	23.04878048780488	3.1380512046915496E-49	744	1330	16650	3.1801782682512734	2.189104520392825E-45	3.12729217198975E-46	6.181219760264831E-46	GO:0051674~localization of cell	CCL4, IL1A, CCL20, PTPRG, S100P, TIE1, SELE, SELP, VEGFC, COL5A1, COL18A1, SAA4, AGT, HCK, FPR1, MMP12, ADCY3, CXCL9, THY1, LRRK2, STAT1, FN1, FFAR2, EDNRB, PDGFD, ITGB2, HAS2, CTHRC1, SCG2, FCER1G, FGF7, CCL18, ADAM9, CXCL16, ROBO1, S100A8, CHL1, PTPRC, MMP1, DPYSL3, FGR, CD300A, CYP1B1, LYN, SNAI2, FAP, OSBPL8, SAA1, ADGRE2, WNT5A, CX3CR1, CXCR2, CDH13, CXCL12, CCL11, PLAU, ADGRA2, PLA2G7, NKX2-3, ANXA1, CCR1, CSF1R, INSM1, SERPINF1, CTSH, SST, CCL2, SRPX2, ANO6, GJA1, KDR, IFNG, OLR1, ITGAX, BMP4, ISL1, NRP1, ICAM1, SFRP2, CEMIP, POSTN, GPR183, KIT, CXCL2, JAML, CLIC4, DOCK4, IGFBP5, SEMA4D, PDPN, PLEKHO1, CCL13, RAC2, FZD3, PTGS2, PDE4B, C3AR1, SLC7A11, CXCL1, LAMA2, CTNNB1, PF4, MDK, APCDD1, SELL, EGR3, F2R, RGCC, CYR61, PROS1, MADCAM1, TNFAIP6, MYH10, SDC2, DOCK10, NEXN, PECAM1, NRG1, CD74, FBLN1, NCKAP1L, PDGFRA, CH25H, COL1A1, THBD, FLRT2, CXCL6, IL33, PROCR, ITGAM, VCAN, VCAM1, SULF1, TREM1, S100A12, DCN, CXCL8, S100A9, HBEGF, DOCK8, FPR3, BST2, PSTPIP2, TGFB1, PDGFRB, PODXL, PLXNC1, FOXF1, MMP9, NOX1, FUT8, CD44, CTGF, NR4A2, ANXA3, CXCL11, COL1A2, IL6, IL1B, CXCL10, TNFSF11, TIMP1, ZEB2, JAK2, SAA2, TWIST1, USP9Y, CCL8, PRKD1, ELMO1, F3, FGF13, CCR6, MSN, XBP1, ITGA4, SPOCK1, MMP10, LAMC1, GREM1, SLC7A5, MITF, CXCL3, CXCL5, PLTP, DCLK1, LAMA4, GPNMB, ACVR1
GOTERM_BP_FAT	189	23.04878048780488	3.1380512046915496E-49	744	1330	16650	3.1801782682512734	2.189104520392825E-45	3.12729217198975E-46	6.181219760264831E-46	GO:0048870~cell motility	CCL4, IL1A, CCL20, PTPRG, S100P, TIE1, SELE, SELP, VEGFC, COL5A1, COL18A1, SAA4, AGT, HCK, FPR1, MMP12, ADCY3, CXCL9, THY1, LRRK2, STAT1, FN1, FFAR2, EDNRB, PDGFD, ITGB2, HAS2, CTHRC1, SCG2, FCER1G, FGF7, CCL18, ADAM9, CXCL16, ROBO1, S100A8, CHL1, PTPRC, MMP1, DPYSL3, FGR, CD300A, CYP1B1, LYN, SNAI2, FAP, OSBPL8, SAA1, ADGRE2, WNT5A, CX3CR1, CXCR2, CDH13, CXCL12, CCL11, PLAU, ADGRA2, PLA2G7, NKX2-3, ANXA1, CCR1, CSF1R, INSM1, SERPINF1, CTSH, SST, CCL2, SRPX2, ANO6, GJA1, KDR, IFNG, OLR1, ITGAX, BMP4, ISL1, NRP1, ICAM1, SFRP2, CEMIP, POSTN, GPR183, KIT, CXCL2, JAML, CLIC4, DOCK4, IGFBP5, SEMA4D, PDPN, PLEKHO1, CCL13, RAC2, FZD3, PTGS2, PDE4B, C3AR1, SLC7A11, CXCL1, LAMA2, CTNNB1, PF4, MDK, APCDD1, SELL, EGR3, F2R, RGCC, CYR61, PROS1, MADCAM1, TNFAIP6, MYH10, SDC2, DOCK10, NEXN, PECAM1, NRG1, CD74, FBLN1, NCKAP1L, PDGFRA, CH25H, COL1A1, THBD, FLRT2, CXCL6, IL33, PROCR, ITGAM, VCAN, VCAM1, SULF1, TREM1, S100A12, DCN, CXCL8, S100A9, HBEGF, DOCK8, FPR3, BST2, PSTPIP2, TGFB1, PDGFRB, PODXL, PLXNC1, FOXF1, MMP9, NOX1, FUT8, CD44, CTGF, NR4A2, ANXA3, CXCL11, COL1A2, IL6, IL1B, CXCL10, TNFSF11, TIMP1, ZEB2, JAK2, SAA2, TWIST1, USP9Y, CCL8, PRKD1, ELMO1, F3, FGF13, CCR6, MSN, XBP1, ITGA4, SPOCK1, MMP10, LAMC1, GREM1, SLC7A5, MITF, CXCL3, CXCL5, PLTP, DCLK1, LAMA4, GPNMB, ACVR1
GOTERM_BP_FAT	234	28.536585365853657	6.748619750176361E-46	744	2030	16650	2.579651994279358	4.7078371377230294E-42	5.884796422153787E-43	1.3293187087558668E-42	GO:0048584~positive regulation of response to stimulus	C1QB, IL1A, CCL4, CCL20, C4BPB, HCK, FPR1, HHEX, LRRK2, BMP6, ITGB2, TGFB3, ROBO1, S100A8, PTPRC, RSPO3, HLA-DQB1, C1QA, FGR, CD300A, LYN, C4B, PLAUR, CD81, OSBPL8, WNT5A, PIM2, TNIP3, MAP3K5, GCG, HLA-DRB3, CD14, PLA2G7, CHSY1, IFI16, SPON2, CYP27B1, C1QC, GZMB, HLA-DPA1, CFH, MNDA, CCL2, CHI3L1, CLEC4A, ANO6, KDR, IFNG, TLR8, NRP1, ICAM1, KIT, PRRX1, GPR183, CXCL2, TLR1, FCER1A, SEMA4D, GBP5, CCL13, RAC2, THEMIS2, C3AR1, CTSK, CTNNB1, DFNA5, TLR2, CFI, LAX1, LCP2, PECAM1, NRG1, CD74, PDGFRA, PROK2, TGM2, PLA2G2A, GPR65, SULF1, DCN, S100A12, S100A9, CXCL8, HLA-DRA, TRAT1, SH2B3, AKAP12, PDGFRB, TNFRSF6B, MMP9, NOX1, DMBT1, DUSP5, CTSC, TICAM2, SERPING1, IL1B, TNFSF11, SLAMF1, SRPX, IRS1, ACPP, ELMO1, CHN1, ARHGAP6, C4BPA, CCR6, GREM1, GPR37, TLR4, ACVR1, IDO1, CFHR1, SELP, VEGFC, CFB, AGT, C8orf4, TRIL, TNFSF13B, CXCL9, THY1, IRF1, CD27, IL18R1, FFAR2, LY96, PDGFD, ACKR3, RASSF2, SCG2, C1R, FCER1G, CCL18, FCN1, ADAM9, INHBA, CD80, CYP1B1, VSIG4, HLA-DRB3, CLEC7A, SAA1, CXCR2, HLA-DQA2, CDH13, CXCL12, CCL11, LPL, TWSG1, ANXA1, MMP2, CCR1, PLEK, CSF1R, NQO2, SEC14L1, HLA-DRB1, COLEC12, CTSH, CDH3, GJA1, ATF3, HLA-DQA1, BMP4, RASGRP1, ISL1, SFRP2, APOL3, ASPH, IGFBP5, TMEM173, IL12RB1, PTGS2, PDE4B, CD38, CXCL1, TRIM22, TNFRSF11B, TLR7, PF4, CD40, CD86, OSMR, F2R, ATP2C1, RGCC, CYR61, BNIP3, MMP3, IRF4, HLA-DRB3, NCKAP1L, CADM1, COL1A1, C1S, THBD, CXCL6, IL33, ITGAM, C4A, PLK2, GDF15, HBEGF, DACT1, NOD2, FPR3, REG3A, TGFB1, BST2, LAT2, CD44, ALOX5AP, CTGF, CXCL11, IL6, CXCL10, CD55, JAK2, LGALS1, TIMP2, AKR1B1, CCL8, PRKD1, PEA15, F3, XBP1, C3, GHR, SALL1, CXCL3, CXCL5, RBPMS, GBP1, GPNMB, FZD10
