GeneID	22_NIBD_NI	23_NIBD_NI	25_NIBD_NI	27_NIBD_NI	30_NIBD_NI	31_NIBD_NI	32_NIBD_NI	36_NIBD_NI	39_NIBD_NI	42_NIBD_NI	43_NIBD_NI	48_NIBD_NI	49_NIBD_NI	50_NIBD_NI	20_CD_NI_B2	21_CD_NI_B2	29_CD_NI_B3	405_CD_NI_B1	407_CD_NI_B3	408_CD_NI_B1	413_CD_NI_B1	420_CD_NI_B2	422_CD_NI_B2	424_CD_NI_B3	429_CD_NI_B1	431_CD_NI_B1	433_CD_NI_B1	434_CD_NI_B3	440_CD_NI_B2	450_CD_NI_B3	51_CD_NI_B2	54_CD_NI_B1	62_CD_NI_B3	63_CD_NI_B1	64_CD_NI_B3	407_CD_IF_B3	408_CD_IF_B1	413_CD_IF_B1	431_CD_IF_B1	434_CD_IF_B3	440_CD_IF_B2
hsa-mir-497-5p	278.87	666.92	288.84	345.41	436.12	380.78	680.84	431.93	658.82	456.18	767.24	490.05	571.5	780.87	380.19	414.34	483.22	313.28	188.93	49.65	46.16	273.98	131.1	500.76	435.61	175.43	68.39	25.27	110.6	208.85	414.95	562.53	417.66	407.81	525.49	94.98	40.34	284.2	369.37	164.58	227.91
hsa-mir-149-5p	125.85	154.86	95.57	159.94	83.66	174.39	197.4	139.9	270.33	113.4	146.03	332.88	128.4	160.16	66.57	93.39	135.66	58.46	32.23	30.16	17.02	65.64	43.81	75.25	314.26	48.56	18.91	9.97	36.23	38.88	144.26	103.12	130.76	118.64	74.27	25.67	20.42	82.42	95.73	44.15	90.24
hsa-mir-375	12454.09	10312.65	11931.04	9718.53	7960.28	36762.45	29904.06	14049.17	37982.86	6137.35	30989.7	18845	7469.5	11538.53	12185.04	14749.65	20717.99	10976.76	2449.11	5266.39	4079.99	14008.65	13394.51	10846.73	7276.57	7104.71	2013.01	2170.49	8637.79	4804.65	6346.33	6560.44	8207.67	11771.75	10822.36	1148.53	16.7	27961.67	6879.11	4067.48	14164.56
hsa-mir-375-1	223.84	150.85	167.45	126.37	128.91	511.7	429.95	202.14	504.38	83.47	471.95	280.39	113.81	175.71	182.47	227.12	295.75	174.22	48.11	91.87	60.09	200.08	178.98	157.86	104.36	113.8	38.04	33.59	167.13	73.52	96.55	111.04	134.96	196.65	154.73	18.92	0	485.75	110.96	65.01	257.56
hsa-mir-378a-3p+1	192.41	138.44	90.97	117.4	190.84	239.73	250	144.31	182.28	66.33	221.08	161.94	134.36	280.55	99.42	147.38	124.53	223.88	58.71	59.79	26.57	88.23	56.5	88.19	202.82	137.29	47.29	18.8	150.59	53.71	133.18	171.62	153.21	202.97	98.5	18.71	6.22	204.08	97.61	44.56	172.3
hsa-mir-375+1	198.53	137.12	204.79	149.54	104.91	552.51	435.2	206.26	616.76	96.37	454.54	292.75	112.26	164.75	187.28	211.29	313.23	190.53	47.28	99.76	73.07	283.8	264.3	184.23	120.46	107.34	25.04	38.02	113.34	84.73	94.92	105.05	121.03	186.21	172.83	21.32	0.4	487.45	123.04	74.92	179.18
hsa-mir-140-3p+1	472.06	672.67	473	453.3	695.56	449.64	552.84	543.05	452.35	526.21	519.89	324.6	471.73	595.31	405.23	545.66	583.44	602.41	688.7	95.12	119.57	495.93	255.39	416.62	535.79	279.91	153.52	65.83	246.99	244.3	404.38	442.41	354.91	397.76	507.62	425.28	286.03	422.78	721.24	390.49	501.59
hsa-mir-196a-2-5p	217.48	45.25	14.36	102.07	98.8	117.59	148.71	138.7	167.98	66.86	210.53	57.86	124.68	148.73	96.37	92.77	20.17	133.08	51.47	29.54	20.39	42.17	70.02	99.38	123.64	87.63	36.9	14.41	86.17	67.26	98.06	108.13	90.41	133	83.56	11.21	0	91.37	33.09	39.51	107.96
hsa-mir-339-3p	53.17	103.31	20.84	59.53	67.15	68.97	74.46	54.02	74.73	67.25	96.43	65.6	56.06	91.57	39.46	46.74	62.28	83.23	102.48	24.59	15.18	73.9	26.75	62.43	54.56	34.28	15.77	8.25	29.64	24.64	49.98	50.21	48.26	81.11	51.16	40.36	15.53	50.08	78.04	37.09	47.06
hsa-mir-150-5p	2679.48	23160.84	7233.32	15622.39	5061.19	8484.39	8106.55	7680.2	10688.79	42254.58	14056.41	6901.09	5540.66	8951.13	10129.18	6752.73	9202.96	2739.95	5349.96	399.04	1780.45	8664.1	2039.84	12820.65	1704.87	3033.94	446.44	289.13	298.31	1998.19	14567.76	7600.97	12168.85	6045.74	6272.43	5406.12	1238.07	1134.87	15854.25	1748.2	416.72
